,地铁线,点编号,地铁点,纬度,经度,边的起点编号,边的终点编号,起点纬度,起点经度,终点纬度,终点经度
0,1,146,莘庄,31.11121476,121.38556159999999,1,1,31.11121476,121.38556159999999,31.1209034,121.3930209
1,1,123,外环路,31.1209034,121.3930209,2,2,31.1209034,121.3930209,31.13083023,121.40279779999999
2,1,7,莲花路,31.13083023,121.40279779999999,3,3,31.13083023,121.40279779999999,31.141966999999998,121.4141598
3,1,187,锦江乐园,31.141966999999998,121.4141598,4,4,31.141966999999998,121.4141598,31.15408368,121.4303053
4,1,121,上海南站,31.15408368,121.4303053,5,5,31.15408368,121.4303053,31.16849521,121.43407409999999
5,1,100,漕宝路,31.16849521,121.43407409999999,6,6,31.16849521,121.43407409999999,31.18246769,121.43699620000001
6,1,186,上海体育馆,31.18246769,121.43699620000001,7,7,31.18246769,121.43699620000001,31.19432018,121.43681609999999
7,1,67,徐家汇,31.19432018,121.43681609999999,8,8,31.19432018,121.43681609999999,31.204988699999998,121.44675
8,1,50,衡山路,31.204988699999998,121.44675,9,9,31.204988699999998,121.44675,31.21360199,121.45021659999999
9,1,86,常熟路,31.21360199,121.45021659999999,10,10,31.21360199,121.45021659999999,31.21596312,121.45912779999999
10,1,276,陕西南路,31.21596312,121.45912779999999,11,11,31.21596312,121.45912779999999,31.22282144,121.4732104
11,1,68,黄陂南路,31.22282144,121.4732104,12,12,31.22282144,121.4732104,31.23277805,121.4745619
12,1,287,人民广场,31.23277805,121.4745619,13,13,31.23277805,121.4745619,31.23859873,121.4683146
13,1,182,新闸路,31.23859873,121.4683146,14,14,31.23859873,121.4683146,31.24113482,121.45872620000002
14,1,6,汉中路,31.24113482,121.45872620000002,15,15,31.24113482,121.45872620000002,31.24889197,121.4575254
15,1,33,上海火车站,31.24889197,121.4575254,16,16,31.24889197,121.4575254,31.2588637,121.45918449999999
16,1,231,中山北路,31.2588637,121.45918449999999,17,17,31.2588637,121.45918449999999,31.27180669,121.45547749999999
17,1,234,延长路,31.27180669,121.45547749999999,18,18,31.27180669,121.45547749999999,31.27959233,121.4520909
18,1,223,上海马戏城,31.27959233,121.4520909,19,19,31.27959233,121.4520909,31.29272163,121.4501265
19,1,194,汶水路,31.29272163,121.4501265,20,20,31.29272163,121.4501265,31.30668998,121.4486753
20,1,232,彭浦新村,31.30668998,121.4486753,21,21,31.30668998,121.4486753,31.31899751,121.447047
21,1,103,共康路,31.31899751,121.447047,22,22,31.31899751,121.447047,31.33109876,121.4415419
22,1,179,通河新村,31.33109876,121.4415419,23,23,31.33109876,121.4415419,31.33975276,121.4377264
23,1,28,呼兰路,31.33975276,121.4377264,24,24,31.33975276,121.4377264,31.35505844,121.434097
24,1,71,共富新村,31.35505844,121.434097,25,25,31.35505844,121.434097,31.36945523,121.4310483
25,1,270,宝安公路,31.36945523,121.4310483,26,26,31.36945523,121.4310483,31.38120623,121.42798880000001
26,1,104,友谊西路,31.38120623,121.42798880000001,27,27,31.38120623,121.42798880000001,31.392293,121.4246617
27,1,133,富锦路,31.392293,121.4246617,28,28,31.392293,121.4246617,31.392293,121.4246617
28,2,110,浦东国际机场,31.15080179,121.80581709999998,29,29,31.15080179,121.80581709999998,31.16852226,121.7969338
29,2,178,海天三路,31.16852226,121.7969338,30,30,31.16852226,121.7969338,31.19940039,121.7554457
30,2,136,远东大道,31.19940039,121.7554457,31,31,31.19940039,121.7554457,31.19280877,121.72409669999999
31,2,141,凌空路,31.19280877,121.72409669999999,32,32,31.19280877,121.72409669999999,31.18660962,121.69806059999999
32,2,181,川沙,31.18660962,121.69806059999999,33,33,31.18660962,121.69806059999999,31.19662727,121.68089760000001
33,2,113,华夏东路,31.19662727,121.68089760000001,34,34,31.19662727,121.68089760000001,31.21351546,121.6737493
34,2,56,创新中路,31.21351546,121.6737493,35,35,31.21351546,121.6737493,31.21431488,121.6561918
35,2,13,唐镇,31.21431488,121.6561918,36,36,31.21431488,121.6561918,31.21086978,121.62116259999999
36,2,215,广兰路,31.21086978,121.62116259999999,37,37,31.21086978,121.62116259999999,31.20417555,121.60197649999999
37,2,46,金科路,31.20417555,121.60197649999999,38,38,31.20417555,121.60197649999999,31.20167617,121.58770870000001
38,2,248,张江高科,31.20167617,121.58770870000001,39,39,31.20167617,121.58770870000001,31.20282889,121.5575192
39,2,189,龙阳路,31.20282889,121.5575192,40,40,31.20282889,121.5575192,31.20929107,121.5509483
40,2,139,世纪公园,31.20929107,121.5509483,41,41,31.20929107,121.5509483,31.21856321,121.5448713
41,2,25,上海科技馆,31.21856321,121.5448713,42,42,31.21856321,121.5448713,31.22891984,121.5269903
42,2,93,世纪大道,31.22891984,121.5269903,43,43,31.22891984,121.5269903,31.23335064,121.51542020000001
43,2,138,东昌路,31.23335064,121.51542020000001,44,44,31.23335064,121.51542020000001,31.23817032,121.5023797
44,2,154,陆家嘴,31.23817032,121.5023797,45,45,31.23817032,121.5023797,31.23799308,121.4842783
45,2,38,南京东路,31.23799308,121.4842783,46,46,31.23799308,121.4842783,31.23277805,121.4745619
46,2,287,人民广场,31.23277805,121.4745619,47,47,31.23277805,121.4745619,31.22802912,121.45944479999999
47,2,115,南京西路,31.22802912,121.45944479999999,48,48,31.22802912,121.45944479999999,31.22315888,121.4476528
48,2,15,静安寺,31.22315888,121.4476528,49,49,31.22315888,121.4476528,31.22020369,121.43128359999999
49,2,213,江苏路,31.22020369,121.43128359999999,50,50,31.22020369,121.43128359999999,31.21822887,121.41636729999999
50,2,111,中山公园,31.21822887,121.41636729999999,51,51,31.21822887,121.41636729999999,31.21112641,121.40381950000001
51,2,286,娄山关路,31.21112641,121.40381950000001,52,52,31.21112641,121.40381950000001,31.2148238,121.38705130000001
52,2,134,威宁路,31.2148238,121.38705130000001,53,53,31.2148238,121.38705130000001,31.21644187,121.37401659999999
53,2,279,北新泾,31.21644187,121.37401659999999,54,54,31.21644187,121.37401659999999,31.21818972,121.35941319999999
54,2,166,淞虹路,31.21818972,121.35941319999999,55,55,31.21818972,121.35941319999999,31.19379121,121.32613590000001
55,2,172,虹桥2号航站楼,31.19379121,121.32613590000001,56,56,31.19379121,121.32613590000001,31.19396321,121.32147490000001
56,2,153,虹桥火车站,31.19396321,121.32147490000001,57,57,31.19396321,121.32147490000001,31.18817965,121.2993571
57,2,222,徐泾东,31.18817965,121.2993571,58,58,31.18817965,121.2993571,31.18817965,121.2993571
58,3,121,上海南站,31.15408368,121.4303053,59,59,31.15408368,121.4303053,31.15791379,121.4431085
59,3,1,石龙路,31.15791379,121.4431085,60,60,31.15791379,121.4431085,31.16984456,121.44403759999999
60,3,54,龙漕路,31.16984456,121.44403759999999,61,61,31.16984456,121.44403759999999,31.176635700000002,121.43834140000001
61,3,109,漕溪路,31.176635700000002,121.43834140000001,62,62,31.176635700000002,121.43834140000001,31.186336100000002,121.42720279999999
62,3,152,宜山路,31.186336100000002,121.42720279999999,63,63,31.186336100000002,121.42720279999999,31.19691457,121.42160659999999
63,3,202,虹桥路,31.19691457,121.42160659999999,64,64,31.19691457,121.42160659999999,31.20961987,121.4170693
64,3,72,延安西路,31.20961987,121.4170693,65,65,31.20961987,121.4170693,31.21822887,121.41636729999999
65,3,111,中山公园,31.21822887,121.41636729999999,66,66,31.21822887,121.41636729999999,31.23190043,121.4128068
66,3,244,金沙江路,31.23190043,121.4128068,67,67,31.23190043,121.4128068,31.23858343,121.4179058
67,3,31,曹杨路,31.23858343,121.4179058,68,68,31.23858343,121.4179058,31.24647436,121.43044009999998
68,3,199,镇坪路,31.24647436,121.43044009999998,69,69,31.24647436,121.43044009999998,31.25458115,121.44105490000001
69,3,260,中潭路,31.25458115,121.44105490000001,70,70,31.25458115,121.44105490000001,31.24966297,121.4556254
70,3,33,上海火车站,31.24889197,121.4575254,16,16,31.24889197,121.4575254,31.2588637,121.45918449999999
71,3,22,宝山路,31.25148975,121.47639840000002,72,72,31.25148975,121.47639840000002,31.26000905,121.48008850000001
72,3,77,东宝兴路,31.26000905,121.48008850000001,73,73,31.26000905,121.48008850000001,31.27138451,121.4791715
73,3,280,虹口足球场,31.27138451,121.4791715,74,74,31.27138451,121.4791715,31.28123616,121.48245619999999
74,3,281,赤峰路,31.28123616,121.48245619999999,75,75,31.28123616,121.48245619999999,31.28946917,121.48321170000001
75,3,188,大柏树,31.28946917,121.48321170000001,76,76,31.28946917,121.48321170000001,31.30557526,121.4851899
76,3,254,江湾镇,31.30557526,121.4851899,77,77,31.30557526,121.4851899,31.31981456,121.4849137
77,3,143,殷高西路,31.31981456,121.4849137,78,78,31.31981456,121.4849137,31.33220206,121.49158259999999
78,3,53,长江南路,31.33220206,121.49158259999999,79,79,31.33220206,121.49158259999999,31.34520075,121.50048340000001
79,3,42,淞发路,31.34520075,121.50048340000001,80,80,31.34520075,121.50048340000001,31.35784668,121.49878580000001
80,3,220,张华浜,31.35784668,121.49878580000001,81,81,31.35784668,121.49878580000001,31.37126917,121.49274070000001
81,3,20,淞浜路,31.37126917,121.49274070000001,82,82,31.37126917,121.49274070000001,31.38135575,121.4881517
